Ticker,Empresa,Nota Asvid,Negócios,Nota IA,Setor,Retorno 1M,Retorno 1A,EBITDA (Var. %),Lucro Líq (Var. %),EV/EBITDA,P/L,DL/EBITDA,DL/EBITDA (Var. %),Valor de Mercado,Comentário Asvid
DEXP3,Dexxos,3,471,3,Químicos,-2.537%,-17.5%,-9.5%,-1.4%,3.5,6.2,-,0%,891.2M,"Resultado continua ruim para a Dexxos, as condições de preços não estão favoráveis, fora as confusões regulatórias"
UNIP6,Unipar,3,696,2,Químicos,-2.163%,5.66%,-16%,-23%,9.9,19,2.6,18%,6.79B,"Empresa cícilca sofre quando o preço dos produtos está em baixa, não tem muita escapatória para a Unipar aqui"
KLBN4,Klabin,3,"4,725",3,Papel e Celulose,-12.23%,-5.71%,-15%,-56%,7.9,33,4.3,12%,20.8B,"Resultado fraco da Klabin, mesmo que com muitos efeitos não caixa, o operacional ajustado também não foi grande coisa"
BRSR6,Banrisul,3,"2,708",2,Bancos,-9.119%,32%,,2.7%,,4,-,0%,6.672B,"Que resultado feio do Banrisul, no trimestre passado, eu falei que faltava constância, mas são altos e baixos demais"
MDIA3,M.Dias Branco,3,"1,221",4,Alimentos e Bebidas,-14.77%,-14.1%,3.2%,5.6%,5.6,11,-,0%,6.865B,"Cuidado com a base de comparação, o resultado do 1T25 foi tenebroso, esse resultado pareceu mediano, sem nada de mais"
FRAS3,Frasle Mobility,3,750,2,Autopeças,-1.227%,-14.9%,-5.6%,-9.2%,8.9,24,1.7,7.8%,6.308B,"Resultado azedou para a Frasle, a empresa ainda tem crédito na praça, mas realmente a crise chegou forte"
GRND3,Grendene,3,"3,068",3,Varejo - Calçados e Artigos Esportivos,-13.02%,2.82%,-1.6%,-1.7%,7.1,6.7,-,0%,3.627B,"Regular, como tem sido a regra para a Grendene por pelo menos uma década. Agora sem o resultado financeiro vai ter que se virar..."
AMAR3,Lojas Marisa,3,242,3,Varejo - Vestuário Geral,-24.72%,-53.1%,-25%,160%,6.9,28,4.8,42%,354.3M,"Apesar das vendas na ponta parecerem melhorar, esse resultado financeiro praticamente inviabiliza a recuperação das Lojas Marisa"
HBSA3,Hidrovias do Brasil,3,"3,138",2,Transporte e Logística - Hidroviário,-5.263%,7.64%,-4.8%,40%,8.6,,3.3,12%,4.53B,"A empresa tinha melhorado bastante, mas os mesmos problemas voltaram a assombrar, ela parece não conseguir ser resiliente"
BRBI11,BR Partners,3,"2,069",3,Bancos,-16.54%,18.4%,,-2.9%,,36,-,0%,1.738B,"A BR Partners está com um resultado mais ou menos, o que não parece muito animador quando se tem um BTG quebrando a banca"
BIOM3,Biomm,3,221,4,Saúde - Farmacêutico,-4.605%,-29.1%,970%,-440%,32,43,1.8,-89%,968.9M,"O resultado da Biomm cresceu muito, mas continua em um patamar muito fraco, não sustenta uma empresa de capital aberto"
AZEV4,Azevedo e Travassos,3,193,3,Construção Civil,-7.143%,-79.7%,-7.1%,-2.3%,,,L,0%,87.16M,"Pipeline de bilhões e lucro de menos de um milhão, por enquanto é só narrativa para enganar trouxa"
JSLG3,JSL,3,"1,233",3,Transporte e Logística - Rodoviário,-13.89%,37.4%,-8%,-220%,4.6,24,3.6,7.9%,1.943B,"Negócio anda meio complicado para a JSL, o aumento de capital deve aliviar um pouco, mas já está comprometendo bastante"
JALL3,Jalles Machado,3,"1,158",4,Agronegócio - Açúcar e Álcool,-11.95%,-34.4%,-18%,-180%,3.3,18,2.6,20%,846.9M,"A IA gostou, mas eu continuo não gostando dos resultados das empresas de álcool/açúcar, positivou o lucro com muita dificuldade"
CSED3,Cruzeiro do Sul,3,"1,087",3,Educação,-26.66%,-8.08%,-5.8%,-8.4%,2.9,7.2,0.66,-12%,1.553B,"Resultado fraco da Cruzeiro do Sul, aparentemente as educacionais perderam um pouco do fôlego do ano passado"
BBAS3,Banco do Brasil,3,"42,790",2,Bancos,-10.51%,-13.9%,,-6.4%,,8.4,-,0%,124.1B,"A recuperação do Banco do Brasil ainda vai demorar, as projeções de lucro foram ajustadas para baixo, segue a saga do crédito agro"
ENGI11,Energisa,3,"8,282",3,Energia - Distribuição,-14.34%,16%,-0.44%,-14%,,,3.8,-0.52%,25.9B,"O aumento do endividamento preocupou um pouco, e o impacto no resultado financeiro já é bem visível e presente na Energisa"
SHUL4,Schulz,3,"1,951",3,Máquinas e Produtos Industriais,-11.19%,3.14%,-6.7%,-5.5%,5.4,6.8,-,0%,1.787B,"A Schulz não passou ilesa pelo cenário complicado da indústria, ao menos se mantém rentável e com estrutura de capital controlada"
ESPA3,Espaçolaser,3,219,3,Varejo - Beleza e Cosméticos,-25%,-17.6%,2.2%,0%,3.3,32,2.3,0.9%,296.4M,"A empresa está tentando se recuperar, mas ainda tem muito trabalho para ser feito, pelo menos a dívida está melhorando"
OPCT3,Oceanpact,3,"1,694",4,Serviços Ambientais,-3.448%,72.3%,5.4%,16%,5.2,15,2.2,2.9%,2.076B,"A Oceanpact vai se segurando, mesmo com altíssimo custo de capital, em um negócio que é difícil de gerar valor nessas condições"
ALLD3,Allied Tecnologia,3,662,4,Varejo - Geral,-11.5%,-14%,1.4%,2.7%,1.3,1.9,0.24,240%,570M,"A Allied está em um buraco tão grande que qualquer coisa que vier é um bom resultado, a base de comparação é muito ruim"
ETER3,Eternit,3,290,2,Materiais de Construção,-10.3%,-14.8%,-4.1%,-4.1%,3,5.2,1.1,16%,224.2M,"Mais um resultado bem ruim da Eternit, que nunca mais se encontrou depois que o mercado de anos atrás desacelerou"
HBRE3,HBR Realty,3,225,4,Exploração Imobiliária,-18.57%,7.55%,4.6%,5.2%,4.5,3,3.7,-17%,303.4M,"Bom resultado da HBR, aos poucos melhorando a operação do W Hotel e controlando despesas, mas resultado financeiro ainda é pesado"
INTB3,Intelbras,3,"1,810",5,Tecnologia,-8.824%,6.81%,14%,19%,7,8.3,-,0%,4.646B,"Resultado bem normal da Intelbras, a IA achou excelente porque a base de comparação no 1T25 é muito fraca"
TOKY3,Grupo Toky,3,298,3,Varejo - Móveis,-57.58%,-85.1%,-240%,-10%,5.4,,5.1,0%,34.69M,"Resultado até razoável da Tocky, para quem vivia tomando prejuízos imensos, mas operacional segue muito ruim"
SBFG3,Grupo SBF,3,"4,615",3,Varejo - Calçados e Artigos Esportivos,-13.83%,-1.36%,3.4%,2.1%,6.8,8.5,3.4,15%,2.666B,"O grupo SBF está basicamente em modo sobrevivência, vamos ver se a copa do mundo consegue dar o impulso que a empresa precisa"
RECV3,PetroReconcavo,3,"6,595",2,Petróleo e Gás,-7.374%,-2.99%,-7.9%,-16%,3.9,7.7,1.1,11%,3.624B,"O maior problema da Petrorecôncavo é a produção caindo, aí nem o preço do Brent conseguiu salvar a empresa"
DESK3,Desktop,3,"1,313",4,Telecomunicações,-5.154%,95.9%,0.32%,-12%,5.2,30,1.9,4.3%,2.041B,"Bom resultado da Desktop que está focando mais na rentabilidade que no crescimento, mas o impacto da dívida ainda é grande"
VLID3,Valid,3,"2,367",3,Software e Serviços de TI,-12.85%,-29.1%,-5.5%,-6.7%,4,6.6,0.18,260%,1.485B,"Resultado regular da Valid, queda na receita não é bom, mas pelo menos a empresa conseguiu segurar a rentabilidade"
CBAV3,CBA,3,"2,058",4,Mineração,0.4739%,126%,-9.8%,3%,8.3,29,2.6,9.7%,6.927B,"Empresa cíclica é assim, tem trimestre bom, tem trimestre ruim, geralmente sem ir a lugar nenhum. Esse por acaso foi bom"
AMOB3,Automob,3,210,3,Automotivo,3.382%,12.5%,0.47%,7.3%,7.2,,5.9,-6.4%,556.2M,"A Automob ainda está no meio do seu processo de se viabilizar economicamente, alguns avanços, mas ainda falta muito chão"
ARML3,Armac,3,"2,752",4,Locação - Máquinas e Equip.,-40.46%,-10.1%,9.4%,1.4%,4.8,23,3,8.4%,1.289B,"Resultado mediano da Armac, embora a empresa esteja tentando arrumar a casa, a performance está muito aquém dos seus apres"
LAND3,Terra Santa,3,127,3,Agronegócio - Produção Agrícola,-2.582%,-27.8%,0%,-40%,530,260,41,62%,822.7M,"O negócio da Terra Santa não tem muito o que falar, ela arrenda sua terra e é basicamente isso, NAV bastante descontado"
PRNR3,Priner,3,"1,752",3,Serviços Profissionais,-11.32%,11.5%,37%,610%,6.4,19,2.1,-22%,1.107B,"A Priner meio que virou abóbora, a empresa estava em uma ascendente legal, mas agora sofre bastante com as condições econômicas"
AZUL53,Azul,2,546,3,Aéreo,22.03%,-,23%,-100%,,,4.8,-20%,15.99B,"Bem legal essa conclusão da IA mostrando que por mais que a empresa foi salva, o minoritário foi permanentemente lesado"
NATU3,Natura,2,"11,886",1,Varejo - Beleza e Cosméticos,-0.5905%,-2.51%,-12%,30%,9.5,,2.1,31%,14.47B,"A reestruturação da Natura já não parece tão promissora, o efeito esperado nas operações parece que não vem, continua complicado"
COCE5,Coelce,2,144,,Energia - Distribuição,-0.122%,34.4%,13%,28%,4.3,5.4,3,4.5%,2.875B,Baixa liquidez
CAML3,Camil,2,"1,717",2,Alimentos e Bebidas,-16.42%,19.6%,-0.12%,-32%,6.2,16,3.8,9.2%,2.03B,"Resultado bem ruim da Camil, nenhuma surpresa para a empresa que nunca conseguiu gerar valor de maneira consistente"
TASA4,Taurus Armas,2,899,2,Aeroespacial e Defesa,-11.11%,-42.3%,-25%,-310%,15,37,6.9,27%,635.8M,"Resultado horrível da Taurus. A IA ainda ficou deslumbrada com a queda nas tarifas, mas mesmo assim a empresa deve continuar ruim"
PCAR3,GPA,2,"1,759",2,Varejo - Alimentício,-20%,-30.7%,-42%,160%,7.4,,5.6,160%,1.018B,"O Pão de Açúcar está em reestruturação faz uns 5 anos, na ponta até parecem haver avanços, mas a empresa continua muito mal"
AZUL3,Azul,2,661,3,Aéreo,-15.03%,-,4.3%,"3,500%",,,2.4,-49%,8.793B,"A empresa, pelo visto, conseguiu ganhar um novo capítulo de vida com a recuperação judicial, vamos ver quanto tempo aguenta agora"
AMER3,Americanas,2,"2,233",3,Varejo - Geral,-20.56%,-0.194%,1.9%,-62%,2.2,,1.3,58%,1.027B,"A notícia boa é que o prejuízo diminuiu, fora isso as coisas continuam muito complicadas para as Americanas"
ISAE4,ISA Energia,2,"6,366",4,Energia - Transmissão,-7.45%,27%,-0.79%,-4.2%,8.4,8,3.6,9.3%,19.84B,"Um pouco de otimismo da IA aqui quando os covenants da dívida deixam de ser cumpridos, situação um pouco delicada para a ISA"
CSAN3,Cosan,2,"15,986",2,Holdings,-17.02%,-44.6%,32%,-5.8%,13,,9.7,-17%,17.41B,"A Cosan estão em uma situação bem complicada, tentando lutar pela continuidade mas com negócios indo muito mal"
SHOW3,Time For Fun,2,174,4,Turismo e Lazer,1.764%,-16.4%,-33%,-15%,,,-,0%,39.91M,"Resultado ""bom"" é só ilusão da base de comparação muito ruim. A Time4Fun não consegue mais ganhar dinheiro e vai sair da bolsa"
FESA4,Ferbasa,2,"2,799",2,Siderurgia,-25.58%,-5.71%,-6%,-14%,9.6,18,-,0%,2.88B,"O resultado da Ferbasa está horrível, tempestade perfeita para a empresa que vive para esperar um ciclo melhor"
MYPK3,Iochpe-Maxion,2,"1,435",3,Autopeças,-11.24%,-23.4%,0.2%,0.92%,3.5,6.4,2.6,-4.8%,1.399B,"Resultado ruim de uma empresa ruim, tem que ser justo que pelo menos o cenário tá bem complicado para esse negócio"
CASH3,Méliuz,2,"1,565",4,Serviços Financeiros,-11.7%,-49.6%,-170%,"7,000%",11,7,-,0%,473.3M,"Se a Méliuz tivesse focado no seu negócio principal, teria se recuperado e apresentado bons números, mas caiu no conto do bitcoin"
LIGT3,Light,2,"4,248",2,Energia - Distribuição,-46.24%,-57.1%,-20%,"1,100%",5.4,0.69,4.8,32%,1.006B,"A Light se reestruturou, mas tem muitos desafios operacionais além do corporativo, pelo menos conseguiu prorrogar a concessão"
RAPT4,Randoncorp,2,"2,663",3,Automotivo,-7.143%,-38.2%,3.2%,88%,5.2,6.2,3.9,-4.9%,1.806B,"A IA foi até bonzinha, resultado da Randon está ruim de verdade, por mais que a empresa tente reduzir os custos, a coisa tá feia"
ENJU3,Enjoei,2,144,3,Varejo - Geral,-9.402%,-11.7%,-40%,5.9%,1.4,,-,0%,217.3M,"Alguns pontos positivos da Enjoei não foram suficientes para impactar o resultado da empresa, que segue sem ser lucrativa"
TUPY3,Tupy,2,"3,621",2,Autopeças,-14.3%,-30.6%,-68%,13%,54,,29,190%,1.751B,"Resultados da Tupy continuam muito ruins, a empresa tenta sobreviver para viver dias melhores, porque agora sem chance"
BHIA3,Casas Bahia,2,"4,460",2,Varejo - Geral,-48.54%,-67.4%,-1.8%,22%,3.1,,2.5,25%,1.386B,"Resultado continua ruim para as Casas Bahia, apesar de aliviar a dívida com o aumento de capital, o peso do financeiro é monstro"
TCSA3,Tecnisa,2,107,2,Construção Civil,-13.33%,-5.65%,-3.6%,13%,,,L,0%,83.19M,"Resultado horrível da Tecnisa, só o Jardim de Perdizes para colaborar com o resultado da empresa, o resto está péssimo"
HBOR3,Helbor,2,"1,341",2,Construção Civil,-3.863%,-7.44%,-6.4%,-12%,15,3.9,13,11%,311.9M,"Helbor tendo o mesmo resultado fraco de sempre, vendas devagar, estoques crescendo, uma das poucas construtoras ruins da bolsa"
VITT3,Vittia,2,849,2,Agronegócio - Insumos Agrícolas,-6.757%,-14%,-10%,-6.1%,8.6,10,2.3,65%,562.3M,"Nesse cenário, a Vittia não consegue lucrar, ela precisa do produtor capitalizado para comprar seus fertilizantes diferenciados"
LJQQ3,Lojas Quero-Quero,2,"2,822",2,Varejo - Geral,-30.39%,-55.2%,-11%,19%,0.74,,-,0%,304.2M,"Resultado realmente bem ruim para as Lojas Quero-Quero, lojas performando mal, EBITDA zerou, situação tá bem complicada"
IFCM3,Infracommerce,2,170,2,Software e Serviços de TI,-34.38%,-97.7%,21%,4.4%,19,,L,0%,86.81M,"Nenhuma grande novidade aqui, a empresa foi sempre ruim e continua com resultados sofríveis, tentando se recuperar"
HAPV3,Hapvida,2,"8,313",3,Seguros,-4.743%,-71.7%,-8.3%,200%,4,,1.8,8.4%,6.233B,"Parece que o resultado da Hapvida só piora, não importa o que aconteça, a IA foi boazinha e está dando um voto de confiança"
VVEO3,Viveo,2,349,3,Saúde - Farmacêutico,-34.78%,-10.4%,6.1%,11%,3.6,20,3.1,-2.8%,400.3M,"A Viveo continua em situação complicada, até que a rentabilidade melhorou um pouco, mas a dívida continua pesando demais"
AZTE3,Azevedo & Travassos Energia,2,155,2,Petróleo e Gás,-38.89%,-70.3%,-25%,-20%,,,L,0%,79M,"Por enquanto o resultado da ATE dá para abastecer um posto de gasolina, mas dar lucro ainda está muito longe"
AURE3,Auren,2,"3,496",2,Energia - Geração,-11.95%,32.6%,-28%,120%,12,,7.3,39%,13.18B,"Resultado ruim da Auren, nenhuma surpresa, a empresa vem de uma série de problemas há anos sem muito sinal de melhora"
GOLL54,Gol,1,436,1,Aéreo,-15.14%,"1,740%",190%,-78%,4.5,,2.6,-78%,9.449B,"Não tem muito o que comentar, essas empresas aéreas só destroem o valor dos acionistas e vivem de vender esperaça de vez em quando"
GFSA3,Gafisa,1,505,1,Construção Civil,-23.33%,-95.5%,-2.8%,12%,,,L,0%,28.44M,"Gafisa não tem jeito, todo mundo ganhando dinheiro com construção e ela amargando resultados horríveis"
BRKM5,Braskem,1,"3,395",1,Químicos,39.51%,17.8%,-18%,-5.6%,22,,18,31%,8.228B,"Quando eu vi o lucro na tabela, achei que a IA seria enganada pela Braskem, mas nem ela cai mais nessa bucha"
RCSL4,Recrusul,1,"3,787",1,Máquinas e Produtos Industriais,-20%,62.5%,-30%,0%,,,-,0%,61.06M,"A empresa conseguiu quebrar a nossa análise, com zero de receita analisa os números como?"
INEP3,Inepar,1,160,,Máquinas e Produtos Industriais,17.39%,-6.09%,370%,120%,,,L,0%,115.6M,Baixa liquidez
OIBR3,Oi,1,110,1,Telecomunicações,-6.667%,-77.8%,-77%,-120%,,,L,0%,44.78M,"Depois de ser inteira desmontada, para surpresa de zero pessoas descobrimos que a operação da Oi dá prejuízo mesmo antes da dívida"
PMAM3,Paranapanema,1,448,,Siderurgia,-15.79%,-73.2%,47%,-38%,,,L,0%,70.89M,Baixa liquidez
AGXY3,AgroGalaxy,1,108,1,Agronegócio - Insumos Agrícolas,-6.468%,-67.7%,-150%,-140%,1.2,0.026,1.1,0%,35.28M,"Empresa em recuperação judicial, não tem muito o que comentar, pelo visto ainda não tem a menor condição de se recuperar"
AMBP3,Ambipar,1,406,3,Serviços Ambientais,-21.74%,-98.7%,18%,7.6%,3.1,,3,8.7%,284M,"Até que o operacional vem evoluindo, mas o custo da dívida hoje é proibitivo para a empresa e dificulta a redução da alavancagem"
ONCO3,Oncoclínicas,1,"3,085",1,Saúde - Serviços Hospitalares,-23.68%,-68.3%,20%,8.4%,,,L,0%,1.748B,"Resultado muito ruim da Oncoclínicas, essa tá precisando de um milagre para se recuperar, a químio tá matando o paciente"
RAIZ4,Raízen,1,"7,067",1,Distribuição de Combustíveis,-26.42%,-80.5%,-83%,430%,28,,26,660%,4.245B,"Não tenho nada a acrescentar ao comentário da IA, resultado horrível da Raízen que agora tenta desesperadamente se salvar"
OBTC3,Oranje BTC,1,"2,252",3,Educação,-11.32%,-,,,,,L,,1.158B,"Vou falar o que disso aqui? Não tem nem como comentar, compraram um cursinho para abrir uma empresa de tesouraria de bitcoin"
