Ticker,Empresa,Nota Asvid,Negócios,Nota IA,Setor,Retorno 1M,Retorno 1A,EBITDA (Var. %),Lucro Líq (Var. %),EV/EBITDA,P/L,DL/EBITDA,DL/EBITDA (Var. %),Valor de Mercado,Comentário Asvid
ANIM3,Anima,4,"3,444",4,Educação,-22.77%,-16.5%,0.98%,-0.78%,3.8,6.8,2.9,2.9%,1.369B,"Atenção para essa queda de alunos na base digital, além dos gastos e resultado financeiro. No geral continua positivo"
FLRY3,Fleury,4,"4,458",4,Saúde - Serviços Diagnósticos,-4.909%,35.5%,2.6%,3.5%,5.5,14,1.5,0%,8.711B,"A Fleury, desde o resultado anterior, começou a querer acelerar um pouco o crescimento, uma ótima notícia para os acionistas"
HYPE3,Hypera Pharma,4,"4,846",4,Saúde - Farmacêutico,-1.913%,-1.96%,35%,41%,8,9.8,2.2,-40%,16.17B,"Um resultado um pouco melhor da Hypera, que estava fraco recentemente, crescendo no sell-out e ganhando marketshare"
AGRO3,BrasilAgro,4,343,2,Agronegócio - Produção Agrícola,-5.364%,-7.47%,-82%,-110%,65,,27,550%,1.944B,"Acho que é a primeira vez que eu vejo um resultado ruim da BrasilAgro, ainda não fechou a safra mas o 3T já é significativo"
ENEV3,Eneva,4,"12,270",4,Energia - Geração,-7.658%,77.7%,2.5%,9.8%,10,26,2.8,6.1%,48.85B,"Eneva tem um negócio bem complicado, mas pelo visto vem navegando bem no setor, com bom impulso do leilão de capacidade"
ALUP11,Alupar,4,"3,221",5,Energia - Transmissão,-5.608%,12.6%,-3.6%,-8.5%,,,2.9,3.2%,11.21B,"Realmente, resultado excelente é muito exagero, mas a Alupar até que vem navegando melhor nesse cenário ruim de transmissoras"
MRVE3,MRV Engenharia,4,"5,416",4,Construção Civil,-20.55%,19.4%,67%,-28%,15,,11,-43%,3.529B,"Como eu comentei no trimestre anterior, a MRV está aos poucos arrumando a casa e voltando a ter resultados melhores como os pares"
SYNE3,SYN,4,967,4,Exploração Imobiliária,-7.335%,-8.45%,-1%,2.7%,4.3,7.9,1.3,8.4%,587.7M,"Interessante as empresas de exploração imobiliária, não dá para olhar só para a DRE, tem que entender o ciclo inteiro do negócio"
CSUD3,CSU,4,567,3,Serviços Financeiros,-8.564%,-1.3%,-2.9%,-3.8%,4.6,7.3,0.31,15%,725.2M,"Realmente os resultados da DRE deixaram um pouco a desejar a empresa, mas é o preço do eventual crescimento futuro tão desejado"
SOJA3,Boa Safra,4,"2,190",3,Agronegócio - Insumos Agrícolas,-11.33%,-43.5%,11%,11%,12,9.1,5.7,130%,946.5M,"Infelizmente, o crescimento da DRE da Boa Safra é só deslocamento sazonal, esse ano promete ser complicado para a empresa"
SAPR11,Sanepar,4,"2,191",3,Saneamento,-11.61%,24.4%,-9.2%,-41%,0.64,27,0.71,18%,11.64B,"Um pouco de exagero na análise da Sanepar, o resultado foi tranquilo e a empresa está bem posicionada para investir pesado"
LPSB3,Lopes Brasil,4,171,3,Exploração Imobiliária,-10.93%,-1.21%,1.4%,-1.9%,2.4,4.8,-,0%,246.4M,"O cenário anda bem complicado para a Lopes, mesmo assim os resultados não são horríveis, só parece que estão longe de decolar"
SBSP3,Sabesp,4,"21,952",5,Saneamento,-17.7%,25.5%,4.4%,3.2%,8.7,64,2.1,12%,102.6B,"Sabesp é uma outra empresa, mesmo com desafios de afluência, o resultado continua sólido em um patamar elevado"
AZZA3,Azzas 2154,4,"5,740",2,Varejo - Vestuário Geral,-3.313%,-49.7%,-7.2%,-8.7%,3.8,6.4,1.3,9.4%,4.314B,"Resultado bem ruim da Azzas, pelo menos tem uma justificativa, diminuir o sell-in para melhorar os estoques. Acompanhar de perto"
